Source,Target,Weight
배근,이동,0.07795780123114603
배근,기초,0.06833582026444923
배근,상부,0.06739464139305373
배근,가공,0.06345341260936052
배근,부주의,0.06187523280997918
배근,실족,0.06002950842671022
이동,기초,0.0524643780671546
이동,상부,0.05152319919575911
이동,가공,0.047581970412065897
이동,부주의,0.04600379061268456
이동,실족,0.04415806622941559
기초,상부,0.041901218229062315
기초,가공,0.03795998944536909
기초,부주의,0.03638180964598776
기초,실족,0.03453608526271879
상부,가공,0.037018810573973604
상부,부주의,0.03544063077459227
상부,실족,0.0335949063913233
가공,부주의,0.031499401990899054
가공,실족,0.029653677607630085
부주의,실족,0.02807549780824875
콘크리트,펌프,0.16515301381464087
콘크리트,배관,0.15115116189790842
콘크리트,바닥,0.14887616672279386
콘크리트,호스,0.1474569879234187
콘크리트,잔재,0.14631154302590618
콘크리트,분배,0.14449347137858184
콘크리트,망치,0.14420083868322411
콘크리트,이동,0.14317131549667914
콘크리트,철근콘크리트,0.14305516323840814
펌프,배관,0.05486933819842911
펌프,바닥,0.05259434302331455
펌프,호스,0.051175164223939376
펌프,잔재,0.05002971932642688
펌프,분배,0.04821164767910254
펌프,망치,0.047919014983744804
펌프,이동,0.04688949179719982
펌프,철근콘크리트,0.046773339538928836
배관,바닥,0.038592491106582104
배관,호스,0.03717331230720693
배관,잔재,0.03602786740969443
배관,분배,0.03420979576237009
배관,망치,0.033917163067012354
배관,이동,0.03288763988046737
배관,철근콘크리트,0.03277148762219639
바닥,호스,0.03489831713209238
바닥,잔재,0.03375287223457987
바닥,분배,0.031934800587255535
바닥,망치,0.0316421678918978
바닥,이동,0.030612644705352812
바닥,철근콘크리트,0.03049649244708183
호스,잔재,0.0323336934352047
호스,분배,0.030515621787880358
호스,망치,0.03022298909252262
호스,이동,0.029193465905977642
호스,철근콘크리트,0.02907731364770666
잔재,분배,0.02937017689036786
잔재,망치,0.029077544195010123
잔재,이동,0.02804802100846514
잔재,철근콘크리트,0.02793186875019416
분배,망치,0.027259472547685782
분배,이동,0.0262299493611408
분배,철근콘크리트,0.026113797102869818
망치,이동,0.025937316665783063
망치,철근콘크리트,0.02582116440751208
이동,철근콘크리트,0.0247916412209671
호수,물이,0.15607797274919513
호수,신호,0.14547412473302543
호수,빗물,0.1395396563470165
호수,크레인,0.13713579546278604
호수,타워,0.13510742506509615
호수,인양,0.13286778757921477
호수,운전,0.12840717797188514
호수,바람,0.12630916462341107
호수,유도,0.12477728790033053
물이,신호,0.08098181182719277
물이,빗물,0.07504734344118387
물이,크레인,0.07264348255695338
물이,타워,0.0706151121592635
물이,인양,0.06837547467338212
물이,운전,0.0639148650660525
물이,바람,0.06181685171757842
물이,유도,0.06028497499449788
신호,빗물,0.06444349542501417
신호,크레인,0.06203963454078368
신호,타워,0.06001126414309379
신호,인양,0.0577716266572124
신호,운전,0.05331101704988279
신호,바람,0.05121300370140871
신호,유도,0.04968112697832817
빗물,크레인,0.056105166154774774
빗물,타워,0.05407679575708488
빗물,인양,0.0518371582712035
빗물,운전,0.04737654866387388
빗물,바람,0.0452785353153998
빗물,유도,0.043746658592319264
크레인,타워,0.0516729348728544
크레인,인양,0.04943329738697301
크레인,운전,0.044972687779643396
크레인,바람,0.04287467443116932
크레인,유도,0.041342797708088776
타워,인양,0.04740492698928313
타워,운전,0.042944317381953506
타워,바람,0.04084630403347943
타워,유도,0.039314427310398886
인양,운전,0.04070467989607213
인양,바람,0.03860666654759805
인양,유도,0.03707478982451751
운전,바람,0.03414605694026843
운전,유도,0.032614180217187885
바람,유도,0.030516166868713807
목재,절단,0.23152395178645335
목재,톱날,0.2139589215312557
목재,합판,0.20155685199269638
목재,스킬,0.1968733368378106
목재,나무,0.1960835022736139
목재,공용,0.195601449789401
목재,사용,0.19230352906467546
목재,가공,0.1920833837271645
목재,원형,0.19193169027019968
절단,톱날,0.09512760716706706
절단,합판,0.08272553762850773
절단,스킬,0.07804202247362198
절단,나무,0.07725218790942527
절단,공용,0.07677013542521237
절단,사용,0.07347221470048683
절단,가공,0.07325206936297587
절단,원형,0.07310037590601104
톱날,합판,0.06516050737331007
톱날,스킬,0.060476992218424314
톱날,나무,0.05968715765422762
톱날,공용,0.05920510517001471
톱날,사용,0.055907184445289165
톱날,가공,0.05568703910777821
톱날,원형,0.05553534565081338
합판,스킬,0.04807492267986498
합판,나무,0.04728508811566828
합판,공용,0.04680303563145538
합판,사용,0.043505114906729835
합판,가공,0.04328496956921887
합판,원형,0.04313327611225405
스킬,나무,0.04260157296078253
